HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,mulliken_dipole_tot,mulliken_quadrupoles
0.4114,0.44149,0.45398,0.47678,0.40841,0.4385,0.45099,0.47379,0.39892,0.42901,0.4415,0.4643,0.36022,0.39031,0.4028,0.4256,1.4251,8.954007184123393
0.43975,0.4466799999999999,0.48339,0.49972,0.43827,0.4452,0.48191,0.49824,0.43161,0.43854,0.47525,0.49158,0.38338,0.39031,0.42702,0.44335,1.7456,6.8288776891472684
0.46008,0.4797,0.49712,0.50209,0.44597,0.46559,0.48301,0.4879799999999999,0.4332899999999999,0.45291,0.47033,0.4752999999999999,0.3929899999999999,0.41261,0.43003,0.4349999999999999,0.8483,2.938706806289687
0.45829,0.47343,0.50045,0.51448,0.44616,0.4613,0.48832,0.5023500000000001,0.41141,0.42655,0.45357,0.4676,0.3831,0.39824,0.4252599999999999,0.43929,0.5777,0.1997228246011623
0.4511,0.4708799999999999,0.4801499999999999,0.4826399999999999,0.43665,0.45643,0.4657,0.46819,0.42871,0.44849,0.45776,0.46025,0.41308,0.43286,0.44213,0.44462,1.0525,0.5935169191635006
0.47635,0.50009,0.52162,0.52737,0.46363,0.4873699999999999,0.5089,0.51465,0.45531,0.47905,0.50058,0.50633,0.40108,0.42482,0.44635,0.4521,0.1711,1.1188749766320334
0.46616,0.47587,0.49811,0.51652,0.45341,0.46312,0.48536,0.50377,0.43294,0.44265,0.4648899999999999,0.4832999999999999,0.38133,0.39104,0.41328,0.43169,1.6674,6.761637340171387
0.46939,0.49793,0.5108,0.52013,0.4632,0.4917399999999999,0.50461,0.51394,0.45898,0.4875199999999999,0.50039,0.50972,0.40026,0.4287999999999999,0.44167,0.4509999999999999,0.1705,0.735235073519574
0.41786,0.44418,0.47534,0.47868,0.4053199999999999,0.4316399999999999,0.4628,0.46614,0.3795099999999999,0.4058299999999999,0.43699,0.44033,0.37282,0.39914,0.4303,0.43364,1.9531,22.86701083774032
0.412,0.42926,0.44605,0.4713299999999999,0.40697,0.42423,0.44102,0.4663,0.37726,0.39452,0.41131,0.43659,0.36627,0.38353,0.40032,0.4256,3.9729,16.208836586463157
0.4324699999999999,0.4466199999999999,0.4636,0.47314,0.42513,0.43928,0.45626,0.4658,0.41812,0.43227,0.44925,0.45879,0.38824,0.4023899999999999,0.41937,0.42891,1.3187,17.05385377776335
0.5505800000000001,0.57123,0.58681,0.6016900000000001,0.54,0.56065,0.57623,0.59111,0.51214,0.53279,0.54837,0.56325,0.46495,0.4856,0.50118,0.51606,1.4095,3.234110597985171
0.51817,0.56995,0.56996,0.56996,0.47091,0.52269,0.5226999999999999,0.5226999999999999,0.4709,0.52268,0.52269,0.52269,0.4709,0.52268,0.52269,0.52269,0.0001,0.0003999999999999
0.41307,0.45561,0.5146,0.53579,0.35275,0.39529,0.45428,0.47547,0.34901,0.39155,0.45054,0.47173,0.34517,0.38771,0.4467,0.46789,2.7278,6.6147570668417845
0.4018299999999999,0.4341299999999999,0.50383,0.5154299999999999,0.37759,0.40989,0.4795899999999999,0.49119,0.3636,0.3959,0.4656,0.4771999999999999,0.3419899999999999,0.3742899999999999,0.44399,0.4555899999999999,2.3699,3.741200577354815
0.38766,0.41959,0.48679,0.49825,0.3749599999999999,0.40689,0.4740899999999999,0.48555,0.36324,0.39517,0.46237,0.47383,0.34152,0.37345,0.44065,0.45211,2.1493,3.3913761936220914
0.4704,0.48979,0.50295,0.5139400000000001,0.46243,0.48182,0.49498,0.50597,0.45226,0.47165,0.48481,0.4958,0.43487,0.45426,0.46742,0.47841,5.1466,16.52446414542188
0.45175,0.46115,0.53626,0.55247,0.39829,0.40769,0.4828,0.49901,0.38596,0.39536,0.47047,0.48668,0.37839,0.3877899999999999,0.4629,0.47911,2.8343,10.699985350145733
0.39524,0.42922,0.5012099999999999,0.50688,0.37682,0.4108,0.48279,0.48846,0.35888,0.39286,0.46485,0.47052,0.33855,0.37253,0.44452,0.45019,2.1136,5.011445581200432
0.39215,0.42451,0.49372,0.50285,0.37469,0.40705,0.47626,0.48539,0.3634,0.39576,0.46497,0.4740999999999999,0.34176,0.37412,0.44333,0.45246,2.297,2.2684080967350946
0.38675,0.41896,0.48656,0.49869,0.37539,0.4075999999999999,0.4751999999999999,0.48733,0.36336,0.39557,0.4631699999999999,0.4753,0.34177,0.37398,0.44158,0.45371,2.2415,4.294284224408068
0.40124,0.43358,0.50327,0.51426,0.37745,0.40979,0.47948,0.4904699999999999,0.36356,0.3959,0.4655899999999999,0.47658,0.34195,0.37429,0.44398,0.45497,2.3103,3.81186029124888
0.3635,0.39609,0.40224,0.40509,0.34999,0.38258,0.38873,0.39158,0.34265,0.37524,0.38139,0.38424,0.3412,0.37379,0.37994,0.38279,2.6479,8.701822301870646
0.3713,0.39662,0.41812,0.47285,0.36822,0.39354,0.4150399999999999,0.4697699999999999,0.36008,0.3854,0.4069,0.46163,0.35592,0.38124,0.40274,0.45747,4.2083,4.200497381660098
0.38103,0.45802,0.4860299999999999,0.4963499999999999,0.37676,0.45375,0.4817599999999999,0.4920799999999999,0.36701,0.444,0.47201,0.48233,0.0400299999999999,0.11702,0.14503,0.15535,1.8926,17.607115350713567
0.47478,0.4802099999999999,0.5177,0.53184,0.4730999999999999,0.4785299999999999,0.5160199999999999,0.53016,0.44698,0.45241,0.4899,0.50404,0.44121,0.44664,0.48413,0.49827,1.2994,10.36411953295278
0.55054,0.57001,0.5920000000000001,0.59201,0.52292,0.5423899999999999,0.56438,0.56439,0.5083,0.5277700000000001,0.54976,0.54977,0.50829,0.52776,0.54975,0.54976,0.0,0.3130571513318295
0.48381,0.48673,0.56497,0.5841000000000001,0.48306,0.4859799999999999,0.5642199999999999,0.58335,0.39175,0.3946699999999999,0.47291,0.49204,0.38104,0.3839599999999999,0.4622,0.48133,0.3929,4.842927969730709
0.52832,0.52922,0.5407500000000001,0.5510200000000001,0.5214,0.5223,0.53383,0.5441,0.49482,0.49572,0.50725,0.51752,0.49191,0.49281,0.50434,0.51461,0.0,0.5052332530623851
0.38946,0.39258,0.39408,0.40785,0.38532,0.38844,0.38994,0.40371,0.38405,0.38717,0.38867,0.40244,0.36805,0.37117,0.37267,0.38644,0.0892,1.583027630839083
0.53921,0.54817,0.55503,0.56528,0.52244,0.5314,0.53826,0.54851,0.5053099999999999,0.51427,0.52113,0.53138,0.50441,0.51337,0.52023,0.5304800000000001,0.0237,0.4409452120161868
0.45203,0.48628,0.50638,0.50981,0.44942,0.48367,0.50377,0.5072,0.44834,0.4825899999999999,0.50269,0.50612,0.42971,0.46396,0.48406,0.48749,2.0284,6.398655455640661
0.49577,0.50697,0.51678,0.52525,0.47972,0.49092,0.50073,0.5092,0.47342,0.48462,0.49443,0.5029,0.4373,0.4485,0.45831,0.46678,1.7093,6.554661487826812
0.37824,0.38925,0.40532,0.41279,0.37558,0.38659,0.40266,0.41013,0.365,0.37601,0.39208,0.39955,0.35382,0.36483,0.3809,0.38837,1.9444,5.493869228512816
0.3896,0.40303,0.40934,0.42903,0.37542,0.38885,0.3951599999999999,0.41485,0.36491,0.37834,0.38465,0.40434,0.05216,0.06559,0.0718999999999999,0.09159,5.0154,15.85712377744884
0.38157,0.38644,0.39646,0.47369,0.37799,0.38286,0.39288,0.47011,0.36921,0.3740799999999999,0.3841,0.4613299999999999,0.04946,0.05433,0.06435,0.1415799999999999,3.6068,11.492031925353032
0.45141,0.47074,0.52851,0.53683,0.45076,0.47009,0.52786,0.53618,0.37935,0.39868,0.45645,0.46477,0.34749,0.36682,0.42459,0.43291,0.8796,7.76694249710485
0.47028,0.4910599999999999,0.55438,0.56273,0.45922,0.48,0.54332,0.55167,0.38647,0.40725,0.47057,0.47892,0.34823,0.3690099999999999,0.43233,0.4406799999999999,1.6369,5.070416007916247
0.41401,0.45391,0.51082,0.5336700000000001,0.3463,0.3862,0.44311,0.46596,0.34313,0.38303,0.43994,0.46279,0.33611,0.37601,0.4329199999999999,0.45577,3.2427,2.356562362142506
0.45372,0.45843,0.51648,0.53464,0.44855,0.45326,0.5113099999999999,0.52947,0.37623,0.38094,0.43899,0.45715,0.37518,0.37989,0.43794,0.4561,0.7072,4.158268336699786
0.4705,0.48015,0.56244,0.5898300000000001,0.39994,0.40959,0.49188,0.51927,0.38585,0.3955,0.47779,0.50518,0.37821,0.38786,0.47015,0.49754,2.724,6.072480555204219
0.40287,0.43596,0.48068,0.5351,0.34543,0.37852,0.42324,0.47766,0.33369,0.36678,0.4115,0.46592,0.31966,0.35275,0.39747,0.45189,1.7714,7.869366015124725
0.39759,0.43105,0.47522,0.52922,0.34602,0.37948,0.4236499999999999,0.4776499999999999,0.33381,0.36727,0.41144,0.4654399999999999,0.31776,0.35122,0.39539,0.44939,2.1493,8.988484100225133
0.40197,0.436,0.48074,0.5349700000000001,0.3455999999999999,0.3796299999999999,0.4243699999999999,0.4786,0.3332699999999999,0.3672999999999999,0.4120399999999999,0.4662699999999999,0.3167,0.35073,0.39547,0.4497,2.2303,7.4361485470190365
0.46727,0.48307,0.5465800000000001,0.55707,0.46108,0.4768799999999999,0.5403899999999999,0.55088,0.39288,0.40868,0.47219,0.48268,0.352,0.3678,0.4313099999999999,0.4417999999999999,1.1563,6.517394185817928
0.38488,0.39262,0.40338,0.4326,0.38026,0.388,0.39876,0.42798,0.36666,0.3744,0.38516,0.4143799999999999,0.33166,0.3394,0.35016,0.37938,1.1521,9.06730284520522
0.47959,0.48541,0.56462,0.57321,0.47876,0.48458,0.56379,0.57238,0.38952,0.3953399999999999,0.4745499999999999,0.48314,0.36944,0.37526,0.45447,0.46306,0.1407,4.79870443487962
0.4671599999999999,0.4734799999999999,0.54197,0.55689,0.46192,0.46824,0.53673,0.55165,0.38882,0.39514,0.46363,0.47855,0.36973,0.37605,0.44454,0.45946,0.0847,5.056384332702568
0.47042,0.47164,0.5415,0.56147,0.4674,0.46862,0.53848,0.55845,0.38594,0.38716,0.45702,0.47699,0.37772,0.37894,0.4488,0.46877,0.371,4.580141466519711
0.45897,0.46156,0.52494,0.56196,0.4392,0.44179,0.50517,0.54219,0.39331,0.3959,0.45928,0.4963,0.3644199999999999,0.36701,0.43039,0.46741,2.151,4.694915314820208
0.44089,0.44128,0.4763,0.54029,0.41755,0.41794,0.45296,0.51695,0.3931199999999999,0.3935099999999999,0.4285299999999999,0.4925199999999999,0.36225,0.36264,0.39766,0.46165,2.1917,5.551379584691839
0.46902,0.46974,0.54081,0.55583,0.46441,0.46513,0.5362,0.55122,0.38641,0.38713,0.4582,0.47322,0.37751,0.37823,0.4493,0.46432,0.5824,3.92866171021804
0.4647,0.46475,0.5302899999999999,0.55258,0.46469,0.46474,0.53028,0.55257,0.37732,0.37737,0.4429099999999999,0.4651999999999999,0.3773,0.37735,0.44289,0.46518,0.2274,5.586800058471158
0.38856,0.39442,0.39702,0.4031599999999999,0.38241,0.38827,0.39087,0.39701,0.37826,0.38412,0.38672,0.39286,0.3706,0.37646,0.37906,0.3852,0.4393,7.463411523782762
0.36501,0.38638,0.40712,0.4412399999999999,0.36286,0.38423,0.40497,0.43909,0.35163,0.373,0.39374,0.42786,0.30639,0.32776,0.3485,0.3826199999999999,0.0626,15.90317829366193
0.4036,0.4347999999999999,0.48091,0.5344599999999999,0.34665,0.37785,0.42396,0.47751,0.33178,0.3629799999999999,0.40909,0.46264,0.31707,0.3482699999999999,0.39438,0.44793,1.8353,8.30822992219161
0.38402,0.40274,0.42344,0.45928,0.36216,0.38088,0.40158,0.43742,0.35112,0.36984,0.39054,0.42638,0.31349,0.33221,0.35291,0.38875,0.6084,9.79448232254603
0.39542,0.42803,0.47538,0.52614,0.34591,0.37852,0.42587,0.47663,0.3336699999999999,0.36628,0.41363,0.4643899999999999,0.31293,0.34554,0.39289,0.44365,1.4091,7.623172160808998
0.39592,0.4368999999999999,0.4744299999999999,0.5247499999999999,0.34439,0.38537,0.4229,0.47322,0.33117,0.37215,0.40968,0.4599999999999999,0.29879,0.3397699999999999,0.3772999999999999,0.42762,1.278,11.45124207120491
