index,CAS,smiles,Mapped SMILES,Reactivity,Oxidation Site,Oxidation Site (one hot)
473,90-15-3,Oc1cccc2ccccc12,[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
474,3934-20-1,Clc1ccnc(Cl)n1,[Cl:1][c:2]1[cH:3][cH:4][n:5][c:6]([Cl:7])[n:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
475,18162-48-6,CC(C)(C)[Si](C)(C)Cl,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[Cl:8],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
476,100-09-4,COc1ccc(C(=O)O)cc1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[OH:9])[cH:10][cH:11]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
477,87-42-3,Clc1ncnc2nc[nH]c12,[Cl:1][c:2]1[n:3][cH:4][n:5][c:6]2[n:7][cH:8][nH:9][c:10]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
478,4548-45-2,O=[N+]([O-])c1ccc(Cl)nc1,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[n:9][cH:10]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
479,5118-06-9,COC(=O)c1sccc1O,[CH3:1][O:2][C:3](=[O:4])[c:5]1[s:6][cH:7][cH:8][c:9]1[OH:10],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
480,98-16-8,Nc1cccc(C(F)(F)F)c1,[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
481,88-17-5,Nc1ccccc1C(F)(F)F,[NH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]([F:9])([F:10])[F:11],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
482,455-14-1,Nc1ccc(C(F)(F)F)cc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][cH:11]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
484,530-62-1,O=C(n1ccnc1)n1ccnc1,[O:1]=[C:2]([n:3]1[cH:4][cH:5][n:6][cH:7]1)[n:8]1[cH:9][cH:10][n:11][cH:12]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
485,939-97-9,CC(C)(C)c1ccc(C=O)cc1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([CH:9]=[O:10])[cH:11][cH:12]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
486,10310-21-1,Nc1nc(Cl)c2[nH]cnc2n1,[NH2:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[nH:7][cH:8][n:9][c:10]2[n:11]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
487,106-40-1,Nc1ccc(Br)cc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([Br:6])[cH:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
488,13534-97-9,Nc1ccc(Br)nc1,[NH2:1][c:2]1[cH:3][cH:4][c:5]([Br:6])[n:7][cH:8]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]"
489,434-45-7,O=C(c1ccccc1)C(F)(F)F,[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[C:9]([F:10])([F:11])[F:12],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
490,1013-88-3,N=C(c1ccccc1)c1ccccc1,[NH:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
491,623-00-7,N#Cc1ccc(Br)cc1,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][cH:9]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
492,14548-46-0,O=C(c1ccccc1)c1ccncc1,[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:9]1[cH:10][cH:11][n:12][cH:13][cH:14]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
493,5451-40-1,Clc1nc(Cl)c2[nH]cnc2n1,[Cl:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[nH:7][cH:8][n:9][c:10]2[n:11]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
494,13734-36-6,CN(CC(=O)O)C(=O)OC(C)(C)C,[CH3:1][N:2]([CH2:3][C:4](=[O:5])[OH:6])[C:7](=[O:8])[O:9][C:10]([CH3:11])([CH3:12])[CH3:13],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
495,607-68-1,Clc1nc(Cl)c2ccccc2n1,[Cl:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[n:12]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
496,4487-59-6,O=[N+]([O-])c1ccc(Br)nc1,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]([Br:8])[n:9][cH:10]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
497,1503-49-7,N#Cc1ccc(C(=O)c2ccccc2)cc1,[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[cH:15][cH:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
498,134-81-6,O=C(C(=O)c1ccccc1)c1ccccc1,[O:1]=[C:2]([C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
500,17217-57-1,COc1ccnc(-c2cc(OC)ccn2)c1,[CH3:1][O:2][c:3]1[cH:4][cH:5][n:6][c:7](-[c:8]2[cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14][n:15]2)[cH:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
502,556-90-1,NC1=NC(=O)C(=Cc2ccc(O)cc2)S1,[NH2:1][C:2]1=[N:3][C:4](=[O:5])[C:6](=[CH:7][c:8]2[cH:9][cH:10][c:11]([OH:12])[cH:13][cH:14]2)[S:15]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
505,434-64-0,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,[F:1][c:2]1[c:3]([F:4])[c:5]([F:6])[c:7]([C:8]([F:9])([F:10])[F:11])[c:12]([F:13])[c:14]1[F:15],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
